dataset,datasetId,siteName,siteId,siteVisitName,siteVisitId,observationId,featureId,featureType,featureTypeId,parameter,parameterId,result,resultId,resultUnit,resultUnitId,method,methodId,resultTime,instrumentId,instrumentType,instrumentTypeId
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0009,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0009,20130422,http://linked.data.gov.au/dataset/ausplots/sv-53494,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-53494,http://linked.data.gov.au/dataset/ausplots/climate_id-qdamgd0009,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2013-04-22T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAFIN0028,http://linked.data.gov.au/dataset/ausplots/site-ntafin0028,20120922,http://linked.data.gov.au/dataset/ausplots/sv-53746,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-53746,http://linked.data.gov.au/dataset/ausplots/climate_id-ntafin0028,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2012-09-22T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACYP0018,http://linked.data.gov.au/dataset/ausplots/site-qdacyp0018,20180708,http://linked.data.gov.au/dataset/ausplots/sv-58603,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-58603,http://linked.data.gov.au/dataset/ausplots/climate_id-qdacyp0018,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2018-07-08T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0011,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0011,20120510,http://linked.data.gov.au/dataset/ausplots/sv-53658,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-53658,http://linked.data.gov.au/dataset/ausplots/climate_id-ntagfu0011,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2012-05-10T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAANOK0007,http://linked.data.gov.au/dataset/ausplots/site-waanok0007,20190701,http://linked.data.gov.au/dataset/ausplots/sv-58762,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-58762,http://linked.data.gov.au/dataset/ausplots/climate_id-waanok0007,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2019-07-01T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NSAMDD0023,http://linked.data.gov.au/dataset/ausplots/site-nsamdd0023,20140810,http://linked.data.gov.au/dataset/ausplots/sv-57083,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-57083,http://linked.data.gov.au/dataset/ausplots/climate_id-nsamdd0023,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2014-08-10T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTADMR0002,http://linked.data.gov.au/dataset/ausplots/site-ntadmr0002,20200804,http://linked.data.gov.au/dataset/ausplots/sv-58869,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-58869,http://linked.data.gov.au/dataset/ausplots/climate_id-ntadmr0002,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2020-08-04T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDACYP0010,http://linked.data.gov.au/dataset/ausplots/site-qdacyp0010,20180614,http://linked.data.gov.au/dataset/ausplots/sv-58595,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-58595,http://linked.data.gov.au/dataset/ausplots/climate_id-qdacyp0010,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2018-06-14T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0013,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0013,20120512,http://linked.data.gov.au/dataset/ausplots/sv-53660,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-53660,http://linked.data.gov.au/dataset/ausplots/climate_id-ntagfu0013,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2012-05-12T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0022,http://linked.data.gov.au/dataset/ausplots/site-waacoo0022,20131101,http://linked.data.gov.au/dataset/ausplots/sv-53453,http://linked.data.gov.au/dataset/ausplots/site_location_visit-obs-climatic_condition-53453,http://linked.data.gov.au/dataset/ausplots/climate_id-waacoo0022,climate,http://linked.data.gov.au/def/tern-cv/6d40d71e-58cd-4f75-8304-40c01fe5f74c,climatic condition,http://linked.data.gov.au/def/tern-cv/c5ca86b0-c503-4590-87fb-0bc8ff9f1632,DRY,N/A,N/A,N/A,Plot and Physical Descriptions,http://linked.data.gov.au/def/ausplots-cv/4c0dabaf-1771-465f-890f-be23337c530e,2013-11-01T00:00:00Z,N/A,N/A,N/A
