taxonID,scientificNameID,scientificName,scientificNameAuthorship,acceptedNameID,acceptedName,nameAccordingToID,nameAccordingTo,namePublishedInID,namePublishedIn,namePublishedInYear,originalNameUsageID,originalNameUsage,parentNameUsageID,parentNameUsage,conceptID,nomenclaturalStatus,nomenclaturalCode,taxonomicStatus,higherClassification,kingdom,class,order,family,subfamily,genus,subgenus,phylum,specificEpithet,cultivarEpithet,genericName,infragenericEpithet,infraspecificEpithet,taxonRank,taxonRemarks,verbatimTaxonRank,vernacularName
https://id.biodiversity.org.au/taxon/apni/51442519,https://id.biodiversity.org.au/name/apni/100874,Aristida holathera Domin,Domin,https://id.biodiversity.org.au/taxon/apni/51442519,Aristida holathera Domin,https://id.biodiversity.org.au/reference/apni/51428473,"CHAH (7 July 2021), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51442510,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Poaceae|Aristida|holathera,Plantae,Equisetopsida,,Poaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2911294,https://id.biodiversity.org.au/name/apni/163151,Austrostipa nitida (Summerh. & C.E.Hubb.) S.W.L.Jacobs & J.Everett,(Summerh. & C.E.Hubb.) S.W.L.Jacobs & J.Everett,https://id.biodiversity.org.au/node/apni/2911294,Austrostipa nitida (Summerh. & C.E.Hubb.) S.W.L.Jacobs & J.Everett,https://id.biodiversity.org.au/reference/apni/46762,"CHAH (2008), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/649281,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Poaceae|Austrostipa|nitida,Plantae,Equisetopsida,,Poaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2894669,https://id.biodiversity.org.au/name/apni/165369,Moraea flaccida (Sweet) Steud.,(Sweet) Steud.,https://id.biodiversity.org.au/node/apni/2894669,Moraea flaccida (Sweet) Steud.,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/611718,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Asparagales|Iridaceae|Moraea|flaccida,Plantae,Equisetopsida,,Iridaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2904150,https://id.biodiversity.org.au/name/apni/88828,Cryptostegia grandiflora R.Br.,R.Br.,https://id.biodiversity.org.au/node/apni/2904150,Cryptostegia grandiflora R.Br.,https://id.biodiversity.org.au/reference/apni/40279,"Forster, P.I. in Orchard, A.E. (ed.) (1996), Asclepiadaceae. Flora of Australia 28",,,,,,,,https://id.biodiversity.org.au/instance/apni/569268,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Gentianales|Apocynaceae|Cryptostegia|grandiflora,Plantae,Equisetopsida,,Apocynaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2889133,https://id.biodiversity.org.au/name/apni/63639,Eucalyptus leucophloia Brooker,Brooker,https://id.biodiversity.org.au/node/apni/2889133,Eucalyptus leucophloia Brooker,https://id.biodiversity.org.au/reference/apni/40090,"Brooker, M.I.H. (28 February 2000), A new classification of the genus Eucalyptus L'Her. (Myrtaceae). Australian Systematic Botany 13(1)",,,,,,,,https://id.biodiversity.org.au/instance/apni/563240,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Myrtales|Myrtaceae|Eucalyptus|leucophloia,Plantae,Equisetopsida,,Myrtaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2905224,https://id.biodiversity.org.au/name/apni/78658,Dampiera pedunculata Rajput & Carolin,Rajput & Carolin,https://id.biodiversity.org.au/node/apni/2905224,Dampiera pedunculata Rajput & Carolin,https://id.biodiversity.org.au/reference/apni/29459,"Rajput, M.T.M. & Carolin, R.C. in George, A.S. (ed.) (1992), Dampiera. Flora of Australia 35",,,,,,,,https://id.biodiversity.org.au/instance/apni/570285,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Asterales|Goodeniaceae|Dampiera|pedunculata,Plantae,Equisetopsida,,Goodeniaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/taxon/apni/51445878,https://id.biodiversity.org.au/name/apni/62408,Cheilanthes nitida (R.Br.) P.S.Green,(R.Br.) P.S.Green,https://id.biodiversity.org.au/taxon/apni/51445878,Cheilanthes nitida (R.Br.) P.S.Green,https://id.biodiversity.org.au/reference/apni/51428473,"CHAH (7 July 2021), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51445867,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Polypodiidae|Pteridaceae|Cheilanthes|nitida,Plantae,Equisetopsida,,Pteridaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2909747,https://id.biodiversity.org.au/name/apni/201356,"Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson","(Rottb.) Goetgh., Muasya & D.A.Simpson",https://id.biodiversity.org.au/node/apni/2909747,"Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson",https://id.biodiversity.org.au/reference/apni/52462,"CHAH (2012), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/774747,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Cyperaceae|Ficinia|nodosa,Plantae,Equisetopsida,,Cyperaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2889740,https://id.biodiversity.org.au/name/apni/84268,Alternanthera nodiflora R.Br.,R.Br.,https://id.biodiversity.org.au/node/apni/2889740,Alternanthera nodiflora R.Br.,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/630165,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Caryophyllanae|Caryophyllales|Amaranthaceae|Alternanthera|nodiflora,Plantae,Equisetopsida,,Amaranthaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2889482,https://id.biodiversity.org.au/name/apni/96384,Cyperus aquatilis R.Br.,R.Br.,https://id.biodiversity.org.au/node/apni/2889482,Cyperus aquatilis R.Br.,https://id.biodiversity.org.au/reference/apni/52462,"CHAH (2012), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/768647,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Cyperaceae|Cyperus|aquatilis,Plantae,Equisetopsida,,Cyperaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2907350,https://id.biodiversity.org.au/name/apni/71436,Acacia ulicifolia (Salisb.) Court,(Salisb.) Court,https://id.biodiversity.org.au/node/apni/2907350,Acacia ulicifolia (Salisb.) Court,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/610010,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Acacia|ulicifolia,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2887105,https://id.biodiversity.org.au/name/apni/68814,Buchanania obovata Engl.,Engl.,https://id.biodiversity.org.au/node/apni/2887105,Buchanania obovata Engl.,https://id.biodiversity.org.au/reference/apni/23507,"Jessup, L.W. in George, A.S. (ed.) (25 December 1985), Anacardiaceae. Flora of Australia 25",,,,,,,,https://id.biodiversity.org.au/instance/apni/478140,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Sapindales|Anacardiaceae|Buchanania|obovata,Plantae,Equisetopsida,,Anacardiaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2912201,https://id.biodiversity.org.au/name/apni/75357,Adenanthera abrosperma F.Muell.,F.Muell.,https://id.biodiversity.org.au/node/apni/2912201,Adenanthera abrosperma F.Muell.,https://id.biodiversity.org.au/reference/apni/40230,"Cowan, R.S. in McCarthy, P.M. (ed.) (1998), Mimosaceae. Flora of Australia 12",,,,,,,,https://id.biodiversity.org.au/instance/apni/560442,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Adenanthera|abrosperma,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2888440,https://id.biodiversity.org.au/name/apni/58127,Maireana thesioides (C.A.Gardner) Paul G.Wilson,(C.A.Gardner) Paul G.Wilson,https://id.biodiversity.org.au/node/apni/2888440,Maireana thesioides (C.A.Gardner) Paul G.Wilson,https://id.biodiversity.org.au/reference/apni/22909,"Wilson, Paul G. in George, A.S. (ed.) (1984), Chenopodiaceae. Flora of Australia 4",,,,,,,,https://id.biodiversity.org.au/instance/apni/461784,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Caryophyllanae|Caryophyllales|Chenopodiaceae|Maireana|thesioides,Plantae,Equisetopsida,,Chenopodiaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2911804,https://id.biodiversity.org.au/name/apni/175134,Cynodon dactylon (L.) Pers. var. dactylon,,https://id.biodiversity.org.au/node/apni/2911804,Cynodon dactylon (L.) Pers. var. dactylon,https://id.biodiversity.org.au/reference/apni/44891,"Nightingale, M.E., Lazarides, M. & Weiller, C.M. in Mallett, K. (ed.) (2005), Cynodon. Flora of Australia 44B",,,,,,,,https://id.biodiversity.org.au/instance/apni/624775,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Poaceae|Cynodon|dactylon|dactylon,Plantae,Equisetopsida,,Poaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/taxon/apni/51429617,https://id.biodiversity.org.au/name/apni/94007,Swainsona laxa R.Br.,R.Br.,https://id.biodiversity.org.au/taxon/apni/51429617,Swainsona laxa R.Br.,https://id.biodiversity.org.au/reference/apni/51428473,"CHAH (7 July 2021), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51429611,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Swainsona|laxa,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2911491,https://id.biodiversity.org.au/name/apni/66839,Indigofera linifolia (L.f.) Retz.,(L.f.) Retz.,https://id.biodiversity.org.au/node/apni/2911491,Indigofera linifolia (L.f.) Retz.,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/745756,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Indigofera|linifolia,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2912645,https://id.biodiversity.org.au/name/apni/100917,Calotis cuneifolia R.Br.,R.Br.,https://id.biodiversity.org.au/node/apni/2912645,Calotis cuneifolia R.Br.,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/743797,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Asterales|Asteraceae|Calotis|cuneifolia,Plantae,Equisetopsida,,Asteraceae,,,,,,,,,,,,,
