dataset,datasetId,siteName,siteId,siteType,siteTypeId,dateCommissioned,description,dimension,polygonWkt,pointWkt,latitude,longitude,altitude,pointPositionWithinPlot,pointPositionWithinPlotId
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-08-20,"Jilbadgi Nature Reserve, About 1.5km NE of Boodarding Rock, which is 37km SSE of Yellowdine. Salmon gum woodland immediately south of access track to Jilbadgi NR from Gt Eastern Hwy.",N/A,"POLYGON((119.82412222 -31.59637778, 119.824125 -31.595475, 119.82517778 -31.595475, 119.82517778 -31.596375, 119.82412222 -31.59637778))",POINT(119.82412222 -31.59637778),-31.596380,119.824100,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0011,http://linked.data.gov.au/dataset/ausplots/site-waacoo0011,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-10-04,"Boorabbin National Park, About 6km south of Boorabbin on a large gypsum dune jutting into a lake chain.",N/A,"POLYGON((120.34193861 -31.25283625, 120.34192222 -31.25188611, 120.34297222 -31.25188611, 120.34297222 -31.25278889, 120.34193861 -31.25283625))",POINT(120.34193861 -31.25283625),-31.252840,120.341900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0007,http://linked.data.gov.au/dataset/ausplots/site-waacoo0007,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-10-15,North part of Jilbadgi NR about 0.3 km west of Boodarding Rock.,N/A,"POLYGON((119.80754722 -31.60672222, 119.80754722 -31.60582222, 119.8086 -31.60582222, 119.8086 -31.60672222, 119.80754722 -31.60672222))",POINT(119.80754722 -31.60672222),-31.606720,119.807500,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0010,http://linked.data.gov.au/dataset/ausplots/site-waacoo0010,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-10-15,"Boorabbin National Park, 4km south of Boorabbin.",N/A,"POLYGON((120.32983333 -31.23180833, 120.32983333 -31.23090556, 120.33087778 -31.23090833, 120.33088333 -31.23180833, 120.32983333 -31.23180833))",POINT(120.32983333 -31.23180833),-31.231810,120.329800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0008,http://linked.data.gov.au/dataset/ausplots/site-waacoo0008,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-10-15,Northern end of Jilbadgi Nature Reserve. 60km south east of Southern Cross.,N/A,"POLYGON((119.79227 -31.60951, 119.79229745 -31.60864141, 119.79332778 -31.60860556, 119.793325 -31.60950833, 119.79227 -31.60951))",POINT(119.79227 -31.60951),-31.609510,119.792300,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0009,http://linked.data.gov.au/dataset/ausplots/site-waacoo0009,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-10-15,"Boorabbin National Park, 4.5 km south of Boorabbin town site. Southwest end of drainage from granite sheets, a basin bordered by Eucalypt woodland including Mallee.",N/A,"POLYGON((120.32610833 -31.23911389, 120.32610833 -31.23820833, 120.32715833 -31.23820833, 120.32715833 -31.23910833, 120.32610833 -31.23911389))",POINT(120.32610833 -31.23911389),-31.239110,120.326100,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0001,http://linked.data.gov.au/dataset/ausplots/site-waacoo0001,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-07-06,300m east of junction of Mt Palmer/Emu Fence Rd,N/A,"POLYGON((119.51894444 -31.39961111, 119.51897222 -31.39869444, 119.52002778 -31.39872222, 119.52005556 -31.39966667, 119.51894444 -31.39961111))",POINT(119.51894444 -31.39961111),-31.399610,119.518900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0002,http://linked.data.gov.au/dataset/ausplots/site-waacoo0002,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-10-06,10km east of Emu Fence Rd along Mt Palmer Rd.,N/A,"POLYGON((119.65138889 -31.40166944, 119.65138889 -31.40076667, 119.65244167 -31.40076667, 119.65244167 -31.40166944, 119.65138889 -31.40166944))",POINT(119.65138889 -31.40166944),-31.401670,119.651400,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0005,http://linked.data.gov.au/dataset/ausplots/site-waacoo0005,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-08-23,Boodaring Rock in Jilbadgi Nature Reserve. About 30km ENE of Marvel Loch. WAACOO0005 is established in same vicinity as WA Museum site BS4a,N/A,"POLYGON((119.80960556 -31.60288056, 119.80960556 -31.60197778, 119.81065833 -31.60197778, 119.81065833 -31.60288056, 119.80960556 -31.60288056))",POINT(119.80960556 -31.60288056),-31.602880,119.809600,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0003,http://linked.data.gov.au/dataset/ausplots/site-waacoo0003,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-08-08,35km south east of Southern Cross,N/A,"POLYGON((119.64786111 -31.39997222, 119.64783333 -31.39902778, 119.64891667 -31.39902778, 119.64891667 -31.39994444, 119.64786111 -31.39997222))",POINT(119.64786111 -31.39997222),-31.399970,119.647900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0023,http://linked.data.gov.au/dataset/ausplots/site-waacoo0023,site,http://linked.data.gov.au/def/tern-cv/5bf7ae21-a454-440b-bdd7-f2fe982d8de4,2013-11-15,"Credo Conservation Park, 35km north of Credo Homestead on Coolgardie North Road. 500m east of WACOO 0022 and 500m west of flux tower.",N/A,"POLYGON((120.64146694 -30.19279417, 120.64150944 -30.19187472, 120.64253694 -30.19190222, 120.64251556 -30.19280389, 120.64146694 -30.19279417))",POINT(120.64146694 -30.19279417),-30.192790,120.641500,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
