attributeId,siteName,siteId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-plot_is_permanently_marked-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,permanent plot,http://linked.data.gov.au/def/tern-cv/e1021d25-7d76-4faa-bfcc-fb6d225eb3ec,True,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-plot_shape-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,plot shape,http://linked.data.gov.au/def/tern-cv/8080742b-6855-4e27-812b-671d4dfe7e0f,square,http://linked.data.gov.au/def/tern-cv/b2e07a7f-942e-44d9-9fd6-f0cee7be103d,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-plot_width-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,plot width,http://linked.data.gov.au/def/tern-cv/c230dd97-3af1-43cf-bd27-ffcf4979d3a1,100.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-property-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,location name,http://linked.data.gov.au/def/tern-cv/dbf4aae7-4179-486b-b181-4f7942f657db,Jilbadgi Nature Reserve,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-bioregion_name-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,bioregion,http://linked.data.gov.au/def/tern-cv/dbff3449-2ec9-4722-a953-87c78da86f74,Coolgardie,http://linked.data.gov.au/def/ausplots-cv/655520fa-fe97-4b67-a35f-a377476f0ff6,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-comments-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,site notes,http://linked.data.gov.au/def/tern-cv/1a283759-58e3-45bb-ab70-6f0bd82038fc,"WAACOO0006 is established in same vicinity as WA Museum site BS46.
Some fire intrusion shown by acacia regeneration and some charred logs. Mostly older understorey. Likely Boorabbin fire 2  to 3 years before visit. Most of the plot was unaffected by recent fire. Older very hot fire across plot evidenced by black charcoal beds where logs once were and by saplings- possibly salmon gums. More recent fire in very small pockets may be about 3 to 5 years. Very rare surface rocks included quartz, iron conglomerate and weathered granite. Rocks may be of colluvial origin. 
Soils were salmon coloured and very hard-setting. The upper profile commonly has termite galleries, mostly old, and low termite mounds were common.
 North east cnr. has 10 x 10 m area of Melaleuca fire scorch death.",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-plot_length-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,plot length,http://linked.data.gov.au/def/tern-cv/9f8cc716-bc8c-40c4-be6b-6270813e94f3,100.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-plot_area-59857,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,plot area,http://linked.data.gov.au/def/tern-cv/cc229ff9-8cca-4ddd-8f01-e1e3fb5892af,10000.0,N/A,Square Metre,http://qudt.org/vocab/unit/M2
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-plot_is_permanently_marked-59858,WAACOO0011,http://linked.data.gov.au/dataset/ausplots/site-waacoo0011,permanent plot,http://linked.data.gov.au/def/tern-cv/e1021d25-7d76-4faa-bfcc-fb6d225eb3ec,True,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_site_location-attr-plot_shape-59858,WAACOO0011,http://linked.data.gov.au/dataset/ausplots/site-waacoo0011,plot shape,http://linked.data.gov.au/def/tern-cv/8080742b-6855-4e27-812b-671d4dfe7e0f,square,http://linked.data.gov.au/def/tern-cv/b2e07a7f-942e-44d9-9fd6-f0cee7be103d,N/A,N/A
