dataset,datasetId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0006,http://linked.data.gov.au/dataset/ausplots/site-waacoo0006,20130723,http://linked.data.gov.au/dataset/ausplots/sv-53438,2013-07-23T12:00:00Z,2013-07-24T09:24:00Z,"Jilbadgi Nature Reserve, About 1.5km NE of Boodarding Rock, which is 37km SSE of Yellowdine. Salmon gum woodland immediately south of access track to Jilbadgi NR from Gt Eastern Hwy."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0011,http://linked.data.gov.au/dataset/ausplots/site-waacoo0011,20131004,http://linked.data.gov.au/dataset/ausplots/sv-53439,2013-10-04T16:01:00Z,2013-10-04T16:01:00Z,"Boorabbin National Park, About 6km south of Boorabbin on a large gypsum dune jutting into a lake chain."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0007,http://linked.data.gov.au/dataset/ausplots/site-waacoo0007,20130823,http://linked.data.gov.au/dataset/ausplots/sv-53440,2013-08-23T10:40:00Z,2013-08-23T10:40:00Z,North part of Jilbadgi NR about 0.3 km west of Boodarding Rock.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0010,http://linked.data.gov.au/dataset/ausplots/site-waacoo0010,20131015,http://linked.data.gov.au/dataset/ausplots/sv-53441,2013-10-15T00:00:00Z,2013-10-15T00:00:00Z,"Boorabbin National Park, 4km south of Boorabbin."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0008,http://linked.data.gov.au/dataset/ausplots/site-waacoo0008,20130903,http://linked.data.gov.au/dataset/ausplots/sv-53442,2013-09-03T10:45:00Z,2014-08-25T12:00:00Z,Northern end of Jilbadgi Nature Reserve. 60km south east of Southern Cross.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0009,http://linked.data.gov.au/dataset/ausplots/site-waacoo0009,20131003,http://linked.data.gov.au/dataset/ausplots/sv-53443,2013-10-03T00:00:00Z,2013-10-03T00:00:00Z,"Boorabbin National Park, 4.5 km south of Boorabbin town site. Southwest end of drainage from granite sheets, a basin bordered by Eucalypt woodland including Mallee."
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0001,http://linked.data.gov.au/dataset/ausplots/site-waacoo0001,20130702,http://linked.data.gov.au/dataset/ausplots/sv-53444,2013-07-02T14:18:00Z,2013-07-02T14:18:00Z,300m east of junction of Mt Palmer/Emu Fence Rd
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0002,http://linked.data.gov.au/dataset/ausplots/site-waacoo0002,20131006,http://linked.data.gov.au/dataset/ausplots/sv-53445,2013-10-06T09:41:00Z,2013-10-06T09:41:00Z,10km east of Emu Fence Rd along Mt Palmer Rd.
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0005,http://linked.data.gov.au/dataset/ausplots/site-waacoo0005,20130823,http://linked.data.gov.au/dataset/ausplots/sv-53446,2013-08-23T10:01:00Z,2013-08-23T10:01:00Z,Boodaring Rock in Jilbadgi Nature Reserve. About 30km ENE of Marvel Loch. WAACOO0005 is established in same vicinity as WA Museum site BS4a
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAACOO0003,http://linked.data.gov.au/dataset/ausplots/site-waacoo0003,20130710,http://linked.data.gov.au/dataset/ausplots/sv-53447,2013-07-10T09:51:00Z,2013-07-10T09:51:00Z,35km south east of Southern Cross
