dataset,datasetId,siteName,siteId,siteVisitName,siteVisitId,observationId,featureId,featureType,featureTypeId,materialSampleID,parameter,parameterId,result,resultId,resultUnit,resultUnitId,method,methodId,resultTime,instrumentId,instrumentType,instrumentTypeId
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAFIN0002,http://linked.data.gov.au/dataset/ausplots/site-ntafin0002,20110923,http://linked.data.gov.au/dataset/ausplots/sv-53622,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-65146,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53622-soil_bulk_id-65146,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53622-soil_bulk_id-65146,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2011-09-23T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAASTP0010,http://linked.data.gov.au/dataset/ausplots/site-saastp0010,20120812,http://linked.data.gov.au/dataset/ausplots/sv-53727,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-gravel_bulk_density-65310,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53727-soil_bulk_id-65310,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53727-soil_bulk_id-65310,gravel bulk density,http://linked.data.gov.au/def/tern-cv/d7bbfb51-4697-4ca9-9846-2511056e3d9d,2.7,N/A,Gram Per Cubic Centimetre,http://qudt.org/vocab/unit/GM-PER-CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-08-12T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAMGD0017,http://linked.data.gov.au/dataset/ausplots/site-qdamgd0017,20130516,http://linked.data.gov.au/dataset/ausplots/sv-53499,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-64895,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53499-soil_bulk_id-64895,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53499-soil_bulk_id-64895,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2013-05-16T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTAGFU0010,http://linked.data.gov.au/dataset/ausplots/site-ntagfu0010,20120509,http://linked.data.gov.au/dataset/ausplots/sv-53657,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-65202,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53657-soil_bulk_id-65202,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53657-soil_bulk_id-65202,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2012-05-09T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDABBS0007,http://linked.data.gov.au/dataset/ausplots/site-qdabbs0007,20190410,http://linked.data.gov.au/dataset/ausplots/sv-58711,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-68302,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58711-soil_bulk_id-68302,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58711-soil_bulk_id-68302,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2019-04-10T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTTDMR0003,http://linked.data.gov.au/dataset/ausplots/site-nttdmr0003,20140314,http://linked.data.gov.au/dataset/ausplots/sv-53583,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-65474,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53583-soil_bulk_id-65474,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53583-soil_bulk_id-65474,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2014-03-14T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDAGUP0024,http://linked.data.gov.au/dataset/ausplots/site-qdagup0024,20130717,http://linked.data.gov.au/dataset/ausplots/sv-53485,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-64842,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53485-soil_bulk_id-64842,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53485-soil_bulk_id-64842,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2013-07-17T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAASTP0030,http://linked.data.gov.au/dataset/ausplots/site-saastp0030,20130819,http://linked.data.gov.au/dataset/ausplots/sv-56935,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-65525,http://linked.data.gov.au/dataset/ausplots/site_visit_id-56935-soil_bulk_id-65525,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-56935-soil_bulk_id-65525,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2013-08-19T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,QDABBS0007,http://linked.data.gov.au/dataset/ausplots/site-qdabbs0007,20190410,http://linked.data.gov.au/dataset/ausplots/sv-58711,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-68301,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58711-soil_bulk_id-68301,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58711-soil_bulk_id-68301,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,209.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2019-04-10T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0010,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0010,20200929,http://linked.data.gov.au/dataset/ausplots/sv-58842,http://linked.data.gov.au/dataset/ausplots/tern_soil_bulk_density-obs-fine_earth_volume-68628,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58842-soil_bulk_id-68628,soil sample,http://linked.data.gov.au/def/tern-cv/06461021-a6c2-4175-9651-23653c2b9116,http://linked.data.gov.au/dataset/ausplots/site_visit_id-58842-soil_bulk_id-68628,fine earth volume,http://linked.data.gov.au/def/tern-cv/05304603-1f89-4734-b929-57d7c64a56db,205.35,N/A,cubic centimetre,http://qudt.org/vocab/unit/CentiM3,Soil bulk density,http://linked.data.gov.au/def/ausplots-cv/48ef72ad-f863-42df-9c16-962a0d0d6e36,2020-09-29T00:00:00Z,N/A,N/A,N/A
