dataset,datasetId,project,projectId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Alice Mulga, core1ha",http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20140121,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20140121,2014-01-21T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Alice Mulga, core1ha",http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20140122,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20140122,2014-01-22T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Alice Mulga, core1ha",http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20140123,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20140123,2014-01-23T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Alice Mulga, core1ha",http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20141127,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20141127,2014-11-27T00:00:00Z,2014-12-01T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Alice Mulga, core1ha",http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20150601,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20150601,2015-06-01T00:00:00Z,2015-06-04T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Alice Mulga, core1ha",http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20180106,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20180106,2018-01-06T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Boyagin Wandoo Woodland, core1ha",http://linked.data.gov.au/dataset/ausplots/site-waaavw0004,20180614,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-boyagin_wandoo_woodland__core1ha_20180614,2018-06-14T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Calperum Mallee, core1ha",http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,20141201,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20141201,2014-12-01T00:00:00Z,2014-12-04T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Calperum Mallee, core1ha",http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,20150512,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20150512,2015-05-12T00:00:00Z,2015-05-15T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Calperum Mallee, core1ha",http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,20151011,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20151011,2015-10-11T00:00:00Z,N/A,
