attributeId,siteVisitName,siteVisitId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-alice_mulga__core1ha_20141127,20141127,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20141127,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-alice_mulga__core1ha_20150601,20150601,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20150601,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-calperum_mallee__core1ha_20141201,20141201,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20141201,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-calperum_mallee__core1ha_20150512,20150512,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20150512,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-calperum_mallee__core1ha_20160401,20160401,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20160401,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-cumberland_plain__core1ha_20150430,20150430,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20150430,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-cumberland_plain__core1ha_20150504,20150504,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20150504,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-cumberland_plain__core1ha_20151127,20151127,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20151127,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-daintree_rainforest__cape_tribulation__core1ha_20141027,20141027,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cape_tribulation__core1ha_20141027,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-daintree_rainforest__cape_tribulation__core1ha_20150414,20150414,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cape_tribulation__core1ha_20150414,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-fletcherview_tropical_rangeland__qdaeiu0008_20211020,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0008_20211020,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-fletcherview_tropical_rangeland__qdaeiu0009_20211020,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0009_20211020,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-fletcherview_tropical_rangeland__qdaeiu0010_20211020,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0010_20211020,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-great_western_woodlands__core1ha_20141101,20141101,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20141101,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-great_western_woodlands__core1ha_20150301,20150301,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20150301,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-karawatha_peri-urban__core1ha_20141015,20141015,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20141015,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-karawatha_peri-urban__core1ha_20150518,20150518,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150518,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
