attributeId,featureId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/ausplots/veg_vouchers-attr-veg_barcode-waa++007635,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,voucher barcode,http://linked.data.gov.au/def/tern-cv/6d351831-45da-403c-919b-1cee41950488,WAA++007635,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-determination_date-waa++007635,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,date identified,http://linked.data.gov.au/def/tern-cv/5acbfe4f-19e0-456c-89db-961013e6cd7c,2017-08-02T00:00:00Z,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-growth_form-waa++007635,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,growth form,http://linked.data.gov.au/def/tern-cv/f81aa91e-5f57-4e49-bc6e-4d821d1f9de2,Sedge,http://linked.data.gov.au/def/tern-cv/d081ad8c-cbe4-433d-8086-53b70ef02e3f,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-specimen_stored_at-waa++007635,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,specimen holder,http://linked.data.gov.au/def/tern-cv/a37fd6b6-d041-451a-8ac6-4083a1be26c5,"WA Herbarium, Department of Parks and Wildlife",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-determiner-waa++007635,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,identified by,http://linked.data.gov.au/def/tern-cv/2ad7e552-5bca-45cf-805a-10ba5a98862a,"Mike Hislop, WA Herbarium",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-is_uncertain_determination-waa++007635,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,identification uncertainty,http://linked.data.gov.au/def/tern-cv/54e40f12-8c13-495a-9f8d-838d78faa5a7,False,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/veg_vouchers-attr-veg_barcode-waa020114,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,voucher barcode,http://linked.data.gov.au/def/tern-cv/6d351831-45da-403c-919b-1cee41950488,WAA020114,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-determination_date-waa020114,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,date identified,http://linked.data.gov.au/def/tern-cv/5acbfe4f-19e0-456c-89db-961013e6cd7c,2020-04-07T00:00:00Z,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-growth_form-waa020114,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,growth form,http://linked.data.gov.au/def/tern-cv/f81aa91e-5f57-4e49-bc6e-4d821d1f9de2,Forb,http://linked.data.gov.au/def/tern-cv/8851e920-0ab4-43c0-a146-2391b84832ae,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-specimen_stored_at-waa020114,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,specimen holder,http://linked.data.gov.au/def/tern-cv/a37fd6b6-d041-451a-8ac6-4083a1be26c5,"WA Herbarium, Department of Parks and Wildlife",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-determiner-waa020114,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,identified by,http://linked.data.gov.au/def/tern-cv/2ad7e552-5bca-45cf-805a-10ba5a98862a,"Mike Hislop, WA Herbarium",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-is_uncertain_determination-waa020114,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,identification uncertainty,http://linked.data.gov.au/def/tern-cv/54e40f12-8c13-495a-9f8d-838d78faa5a7,False,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-determiner_comment-saa013981,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013981,identification remarks,http://linked.data.gov.au/def/tern-cv/45a86abc-43c7-4a30-ac73-fc8d62538140,KEEP,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/veg_vouchers-attr-veg_barcode-saa013981,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013981,voucher barcode,http://linked.data.gov.au/def/tern-cv/6d351831-45da-403c-919b-1cee41950488,SAA013981,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/tern_herbarium_determination-attr-determination_date-saa013981,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013981,date identified,http://linked.data.gov.au/def/tern-cv/5acbfe4f-19e0-456c-89db-961013e6cd7c,2021-02-16T00:00:00Z,N/A,N/A,N/A
