dataset,datasetId,siteName,siteId,siteVisitName,siteVisitId,observationId,featureId,featureType,featureTypeId,materialSampleID,parameter,parameterId,result,resultId,resultUnit,resultUnitId,method,methodId,resultTime,instrumentId,instrumentType,instrumentTypeId
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAAVIB0004,http://linked.data.gov.au/dataset/ausplots/site-waavib0004,20160608,http://linked.data.gov.au/dataset/ausplots/sv-58504,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-waa++007635,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa++007635,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Cyperus haspan subsp. juncoides (Lam.) Kük.,https://id.biodiversity.org.au/node/apni/2913880,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2016-06-08T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,WAAYAL0005,http://linked.data.gov.au/dataset/ausplots/site-waayal0005,20190730,http://linked.data.gov.au/dataset/ausplots/sv-58781,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-waa020114,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-waa020114,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Opercularia spermacocea Labill. ex Juss.,https://id.biodiversity.org.au/node/apni/2902538,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2019-07-30T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0013,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0013,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-saa013981,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013981,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa013981,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Lysimachia arvensis (L.) U.Manns & Anderb.,https://id.biodiversity.org.au/taxon/apni/51291824,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-15T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0013,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0013,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-saa020487,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020487,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020487,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Leucopogon parviflorus (Andrews) Lindl.,https://id.biodiversity.org.au/node/apni/2886078,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-15T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0013,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0013,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-saa020495,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020495,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020495,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Corybas sp. B,https://id.biodiversity.org.au/instance/apni/51400960,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-15T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0011,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0011,20201020,http://linked.data.gov.au/dataset/ausplots/sv-58847,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-saa020649,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020649,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020649,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,"Stackhousia aspericocca subsp. ""One-sided inflorescence"" (W.R.Barker 697)",https://id.biodiversity.org.au/instance/apni/51381627,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-20T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTASSD0008,http://linked.data.gov.au/dataset/ausplots/site-ntassd0008,20120919,http://linked.data.gov.au/dataset/ausplots/sv-57074,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-nta+004575,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004575,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004575,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Acacia dictyophleba F.Muell.,https://id.biodiversity.org.au/node/apni/2897216,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2012-09-19T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,SAAEYB0011,http://linked.data.gov.au/dataset/ausplots/site-saaeyb0011,20201020,http://linked.data.gov.au/dataset/ausplots/sv-58847,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-saa020579,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020579,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-saa020579,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Corybas sp. B,https://id.biodiversity.org.au/instance/apni/51400960,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2020-10-20T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NTASSD0008,http://linked.data.gov.au/dataset/ausplots/site-ntassd0008,20120919,http://linked.data.gov.au/dataset/ausplots/sv-57074,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-nta+004682,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004682,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-nta+004682,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Senna pleurocarpa (F.Muell.) Randell,https://id.biodiversity.org.au/node/apni/2915839,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2012-09-19T00:00:00Z,N/A,N/A,N/A
TERN Surveillance Monitoring,http://linked.data.gov.au/dataset/ausplots,NSABHC0001,http://linked.data.gov.au/dataset/ausplots/site-nsabhc0001,20120529,http://linked.data.gov.au/dataset/ausplots/sv-53596,http://linked.data.gov.au/dataset/ausplots/veg_vouchers-obs-taxon-aug+000235,http://linked.data.gov.au/dataset/ausplots/veg_barcode-aug+000235,plant specimen,http://linked.data.gov.au/def/tern-cv/2e122e23-881c-43fa-a921-a8745f016ceb,http://linked.data.gov.au/dataset/ausplots/veg_barcode-aug+000235,taxon,http://linked.data.gov.au/def/tern-cv/70646576-6dc7-4bc5-a9d8-c4c366850df0,Maireana pentatropis (Tate) Paul G.Wilson,https://id.biodiversity.org.au/node/apni/2889466,N/A,N/A,Vegetation vouchering - vascular plants,http://linked.data.gov.au/def/ausplots-cv/1d39b897-d6d3-40e9-8113-8ebeab2cd38e,2012-05-29T00:00:00Z,N/A,N/A,N/A
