taxonID,scientificNameID,scientificName,scientificNameAuthorship,acceptedNameID,acceptedName,nameAccordingToID,nameAccordingTo,namePublishedInID,namePublishedIn,namePublishedInYear,originalNameUsageID,originalNameUsage,parentNameUsageID,parentNameUsage,conceptID,nomenclaturalStatus,nomenclaturalCode,taxonomicStatus,higherClassification,kingdom,class,order,family,subfamily,genus,subgenus,phylum,specificEpithet,cultivarEpithet,genericName,infragenericEpithet,infraspecificEpithet,taxonRank,taxonRemarks,verbatimTaxonRank,vernacularName
https://id.biodiversity.org.au/node/apni/2913880,https://id.biodiversity.org.au/name/apni/116816,Cyperus haspan subsp. juncoides (Lam.) Kük.,(Lam.) Kük.,https://id.biodiversity.org.au/node/apni/2913880,Cyperus haspan subsp. juncoides (Lam.) Kük.,https://id.biodiversity.org.au/reference/apni/52462,"CHAH (2012), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/770969,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Poales|Cyperaceae|Cyperus|haspan|juncoides,Plantae,Equisetopsida,,Cyperaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2902538,https://id.biodiversity.org.au/name/apni/96680,Opercularia spermacocea Labill. ex Juss.,Labill. ex Juss.,https://id.biodiversity.org.au/node/apni/2902538,Opercularia spermacocea Labill. ex Juss.,https://id.biodiversity.org.au/reference/apni/49840,"CHAH (2011), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/750007,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Gentianales|Rubiaceae|Opercularia|spermacocea,Plantae,Equisetopsida,,Rubiaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/taxon/apni/51291824,https://id.biodiversity.org.au/name/apni/222778,Lysimachia arvensis (L.) U.Manns & Anderb.,(L.) U.Manns & Anderb.,https://id.biodiversity.org.au/taxon/apni/51291824,Lysimachia arvensis (L.) U.Manns & Anderb.,https://id.biodiversity.org.au/reference/apni/9787312,"CHAH (31 July 2018), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51291802,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Ericales|Primulaceae|Lysimachia|arvensis,Plantae,Equisetopsida,,Primulaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2886078,https://id.biodiversity.org.au/name/apni/112236,Leucopogon parviflorus (Andrews) Lindl.,(Andrews) Lindl.,https://id.biodiversity.org.au/node/apni/2886078,Leucopogon parviflorus (Andrews) Lindl.,https://id.biodiversity.org.au/reference/apni/52462,"CHAH (2012), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/752570,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Asteranae|Ericales|Ericaceae|Leucopogon|parviflorus,Plantae,Equisetopsida,,Ericaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/instance/apni/51400960,https://id.biodiversity.org.au/name/apni/51344623,Corybas sp. B,,https://id.biodiversity.org.au/taxon/apni/51401043,Corybas expansus D.L.Jones,https://id.biodiversity.org.au/reference/apni/51316736,"CHAH (28 February 2018), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51400960,[n/a],ICN,taxonomic synonym,Plantae|Charophyta|Equisetopsida|Magnoliidae|Lilianae|Asparagales|Orchidaceae|Corybas|expansus,Plantae,Equisetopsida,,,,,,,,,,,,,,,
https://id.biodiversity.org.au/instance/apni/51381627,https://id.biodiversity.org.au/name/apni/51381625,"Stackhousia aspericocca subsp. ""One-sided inflorescence"" (W.R.Barker 697)",,https://id.biodiversity.org.au/node/apni/2908629,Stackhousia aspericocca subsp. One-sided inflorescence (W.R.Barker 697) W.R.Barker,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/51381627,[n/a],ICN,taxonomic synonym,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Celastrales|Celastraceae|Stackhousia|aspericocca|One-sided inflorescence (W.R.Barker 697),Plantae,Equisetopsida,,,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2897216,https://id.biodiversity.org.au/name/apni/61829,Acacia dictyophleba F.Muell.,F.Muell.,https://id.biodiversity.org.au/node/apni/2897216,Acacia dictyophleba F.Muell.,https://id.biodiversity.org.au/reference/apni/42942,"CHAH (2006), Australian Plant Census",,,,,,,,https://id.biodiversity.org.au/instance/apni/604783,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Acacia|dictyophleba,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2915839,https://id.biodiversity.org.au/name/apni/117628,Senna pleurocarpa (F.Muell.) Randell,(F.Muell.) Randell,https://id.biodiversity.org.au/node/apni/2915839,Senna pleurocarpa (F.Muell.) Randell,https://id.biodiversity.org.au/reference/apni/39629,"Randell, B.R. & Barlow, B.A. in McCarthy, P.M. (ed.) (1998), Senna. Flora of Australia 12",,,,,,,,https://id.biodiversity.org.au/instance/apni/555697,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Rosanae|Fabales|Fabaceae|Senna|pleurocarpa,Plantae,Equisetopsida,,Fabaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2889466,https://id.biodiversity.org.au/name/apni/57855,Maireana pentatropis (Tate) Paul G.Wilson,(Tate) Paul G.Wilson,https://id.biodiversity.org.au/node/apni/2889466,Maireana pentatropis (Tate) Paul G.Wilson,https://id.biodiversity.org.au/reference/apni/22909,"Wilson, Paul G. in George, A.S. (ed.) (1984), Chenopodiaceae. Flora of Australia 4",,,,,,,,http://id.biodiversity.org.au/instance/apni/461271,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Caryophyllanae|Caryophyllales|Chenopodiaceae|Maireana|pentatropis,Plantae,Equisetopsida,,Chenopodiaceae,,,,,,,,,,,,,
https://id.biodiversity.org.au/node/apni/2899537,https://id.biodiversity.org.au/name/apni/101108,Maireana amoena (Diels) Paul G.Wilson,(Diels) Paul G.Wilson,https://id.biodiversity.org.au/node/apni/2899537,Maireana amoena (Diels) Paul G.Wilson,https://id.biodiversity.org.au/reference/apni/22909,"Wilson, Paul G. in George, A.S. (ed.) (1984), Chenopodiaceae. Flora of Australia 4",,,,,,,,https://id.biodiversity.org.au/instance/apni/528512,,ICN,accepted,Plantae|Charophyta|Equisetopsida|Magnoliidae|Caryophyllanae|Caryophyllales|Chenopodiaceae|Maireana|amoena,Plantae,Equisetopsida,,Chenopodiaceae,,,,,,,,,,,,,
