attributeId,siteVisitName,siteVisitId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-58780,20190729,http://linked.data.gov.au/dataset/ausplots/sv-58780,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,125.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-58780,20190729,http://linked.data.gov.au/dataset/ausplots/sv-58780,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,75m from centre of the plot is same community- more or less confined to the plot but continues along dune slope to the north and south,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-58780,20190729,http://linked.data.gov.au/dataset/ausplots/sv-58780,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,South west corner is 50m in from Steep Point access track.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-58819,20190826,http://linked.data.gov.au/dataset/ausplots/sv-58819,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,105.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-58819,20190826,http://linked.data.gov.au/dataset/ausplots/sv-58819,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,"The site is homogenous and the community extends 60m from the centre of the plot to the south, 150m to the east, 70m to the west and 30-40m to the north. The community transitions to a more open chenopod shrubland to the east and a sandy samphire shrubland to the south.",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-58819,20190826,http://linked.data.gov.au/dataset/ausplots/sv-58819,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,The nearest infrastructure is the access track 30-40m north of north west corner.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-58820,20190730,http://linked.data.gov.au/dataset/ausplots/sv-58820,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,60.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-58820,20190730,http://linked.data.gov.au/dataset/ausplots/sv-58820,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,"The site is homogenous and the community extends 60m from centre of the plot to west, about 40-15m to the south where it is stopped by a road, it finishes along the eastern edge of plot and extends 80m to north but transitions to more of a Melaleuca dominated shrubland.",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-58820,20190730,http://linked.data.gov.au/dataset/ausplots/sv-58820,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,The nearest infrastructure is the main 4WD track through the park and it is about 10-15m to the south from the south west corner.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-visit_notes-58845,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,visit notes,http://linked.data.gov.au/def/tern-cv/c5b8b894-b5ee-49bf-be93-52491afe73a9,"Plot setup from SE corner, for both setup and site description.

point intercept data: all unknown substrate are moss as substrate 
Date of soil and subsites:  9/09/2020",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-58845,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,180.0,N/A,Metre,http://qudt.org/vocab/unit/M
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_community-58845,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,comment on community extent,http://linked.data.gov.au/def/tern-cv/335a84cd-01af-49cb-8532-acf71dc1d980,"Plot is homogenous. 200m from centre in same community. Site is patchy at a sub 1ha level but reflects pattern of broader landscape. Eucalyptus oleosa, Acacia rupicola and Templetonia retusa denser in southern part of plot while northern half of plot is more open- more exposed limestone outcrop and a higher density of Melaleuca lanceolata.",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-comment_on_distance_to_infrastructure-58845,20201015,http://linked.data.gov.au/dataset/ausplots/sv-58845,comment on distance to infrastructure,http://linked.data.gov.au/def/tern-cv/e5953626-5c62-4baa-b8e5-36a7e6660611,Track 130m east of south east corner of plot.,N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-visit_notes-58847,20201020,http://linked.data.gov.au/dataset/ausplots/sv-58847,visit notes,http://linked.data.gov.au/def/tern-cv/c5b8b894-b5ee-49bf-be93-52491afe73a9,"point intercept data: all unknown substrates are moss as substrate 
Date of soil and subsites:  8/09/2020",N/A,N/A,N/A
http://linked.data.gov.au/dataset/ausplots/site_location_visit-attr-distance_to_nearest_infrastructure-58847,20201020,http://linked.data.gov.au/dataset/ausplots/sv-58847,distance to nearest human infrastructure,http://linked.data.gov.au/def/tern-cv/e926b2ca-2688-486c-aa28-435f91c3c110,190.0,N/A,Metre,http://qudt.org/vocab/unit/M
