dataset,datasetId,project,projectId,latitude,longitude,altitude,siteName,siteId,topParentSiteName,topParentSiteId,siteVisitName,siteVisitId,observationId,featureId,featureType,featureTypeId,parentFeatureId,parameter,parameterId,result,resultId,resultUnit,resultUnitId,method,methodId,resultTime,systemId,systemType,systemTypeId,samplingId,samplingMethod,samplingMethodId
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-27.627890,153.088100,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,Karawatha Peri-Urban,https://w3id.org/tern/resources/b6a430ed-fe09-4674-ac94-15b1f4672ce4,20150902,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-karawatha_peri-urban__core1ha_20150902,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-karawatha_peri-urban__core1ha_20150902,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-karawatha_peri-urban__core1ha_20150902,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,248.920949,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2015-09-02T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-33.615630,150.721900,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,20200626,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20200626,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-cumberland_plain__core1ha_20200626,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20200626,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,125.672735,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2020-06-26T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-35.655900,148.151700,N/A,"Tumbarumba Wet Eucalypt, core1ha",https://w3id.org/tern/resources/2004f314-b7b0-41ae-961d-3512951da18d,Tumbarumba Wet Eucalypt,https://w3id.org/tern/resources/b7c1aa7f-4032-4f4b-8046-2496ac708566,20151201,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-tumbarumba_wet_eucalypt__core1ha_20151201,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-tumbarumba_wet_eucalypt__core1ha_20151201,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-tumbarumba_wet_eucalypt__core1ha_20151201,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,312.154337,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2015-12-01T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-33.615630,150.721900,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,20160418,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20160418,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-cumberland_plain__core1ha_20160418,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20160418,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,138.495846,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2016-04-18T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-17.121410,145.629900,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,20100924,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-robson_creek__core1ha_20100924,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-robson_creek__core1ha_20100924,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-robson_creek__core1ha_20100924,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,471.607195,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2010-09-24T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-34.002210,140.587000,N/A,SASMDD0001,http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,Calperum Mallee,https://w3id.org/tern/resources/77de3679-cdaa-4dec-b595-6e11de3c3ec0,20180106,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-calperum_mallee__core1ha_20180106,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-calperum_mallee__core1ha_20180106,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-calperum_mallee__core1ha_20180106,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,2.092546,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2018-01-06T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-17.121410,145.629900,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,20150615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-robson_creek__core1ha_20150615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-robson_creek__core1ha_20150615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-robson_creek__core1ha_20150615,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,505.924491,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2015-06-15T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-17.121410,145.629900,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,20190615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-robson_creek__core1ha_20190615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-robson_creek__core1ha_20190615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-robson_creek__core1ha_20190615,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,451.949402,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2019-06-15T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-33.615630,150.721900,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-cumberland_plain__core1ha_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,108.975929,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2014-03-28T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,-33.615630,150.721900,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,20150903,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20150903,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_biomass_core1ha-obs-standbiomass_tonnesperhectare-cumberland_plain__core1ha_20150903,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20150903,plant community,http://linked.data.gov.au/def/tern-cv/ea3a4c64-dac3-4660-809a-8ad5ced8997b,N/A,stand biomass,http://linked.data.gov.au/def/tern-cv/245c8b4c-dd85-4925-8133-bc7477ecff43,136.388247,N/A,tonne per hectare,http://qudt.org/vocab/unit/TONNE-PER-HA,Woody plant above ground biomass,http://linked.data.gov.au/def/tern-cv/dcf170fe-4bc3-462a-bb2d-f7c1d2960d4a,2015-09-03T00:00:00Z,N/A,N/A,N/A,N/A,N/A,N/A
