attributeId,featureId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_326_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-326,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass of dead standing trees calculated using decay multiplier (85% of live biomass) from Bennett et al 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_297_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-297,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic eucalptus tree equation from Paul et al. 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_475_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-475,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass of dead standing trees calculated using decay multiplier (85% of live biomass) from Bennett et al 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_245_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-245,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic tree equation from Paul et al. 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_332_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-332,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic eucalptus tree equation from Paul et al. 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_95_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-95,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic tree equation from Paul et al. 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_282_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-282,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass of dead standing trees calculated using decay multiplier (85% of live biomass) from Bennett et al 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_171_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-171,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic eucalptus tree equation from Paul et al. 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_156_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-156,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic eucalptus tree equation from Paul et al. 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_373_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-373,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic eucalptus tree equation from Paul et al. 2013,N/A,N/A,N/A
http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/biomass_core1ha-attr-comment-cumberland_plain__core1ha_422_20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/site_visit_id-cumberland_plain__core1ha_20140328-plantid-422,comment,http://linked.data.gov.au/def/tern-cv/5a13a61f-a43f-40cf-bc3f-3e0cc2e64ce1,Biomass calculated using generic eucalptus tree equation from Paul et al. 2013,N/A,N/A,N/A
