dataset,datasetId,project,projectId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,NTABRT0002,http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20140121,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-alice_mulga__core1ha_20140121,2014-01-21T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,NTABRT0002,http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,20180106,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-alice_mulga__core1ha_20180106,2018-01-06T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,SASMDD0001,http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,20151011,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-calperum_mallee__core1ha_20151011,2015-10-11T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,SASMDD0001,http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,20180106,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-calperum_mallee__core1ha_20180106,2018-01-06T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20140328,2014-03-28T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20150903,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20150903,2015-09-03T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20160418,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20160418,2016-04-18T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20200626,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-cumberland_plain__core1ha_20200626,2020-06-26T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,20150902,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-karawatha_peri-urban__core1ha_20150902,2015-09-02T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,Biomass,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,20100924,http://linked.data.gov.au/dataset/tern-ecosystem-processes/dataset-biomass/sv-robson_creek__core1ha_20100924,2010-09-24T00:00:00Z,N/A,
